source_path,classification,destination,action,reason,review_status
knowledge/examples/invalid/level3_unsupported.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
knowledge/examples/invalid/missing_forced_baseline.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
knowledge/examples/invalid/shadowed_child_category.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
knowledge/examples/invalid/unknown_category_reference.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
knowledge/examples/invalid/windows_reserved_mod_id.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is not a Software Inc native artifact; retain only covered semantic regression intent.,REVIEWED
knowledge/examples/repairs/never_auto_foreign_mod_edit.json,LEGACY_REPAIR_FIXTURE,production/evals/migration.json,REWRITE,Repair-policy intent retained only where it maps to standalone safety/repair behavior.,REVIEWED
knowledge/examples/repairs/review_required_forced_baseline.json,LEGACY_REPAIR_FIXTURE,production/evals/migration.json,REWRITE,Repair-policy intent retained only where it maps to standalone safety/repair behavior.,REVIEWED
knowledge/examples/repairs/safe_auto_name_generator.json,LEGACY_REPAIR_FIXTURE,production/evals/migration.json,REWRITE,Repair-policy intent retained only where it maps to standalone safety/repair behavior.,REVIEWED
knowledge/examples/valid/addon_hardware.RESEARCH_ONLY.md,RESEARCH_FIXTURE,production/knowledge/,MERGE,Native-format research fixture retained only after provenance/version-scoped review.,REVIEWED
knowledge/examples/valid/ai_saas_expansion.snapshot.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is superseded by real Software Inc family authoring guidance/evals.,REVIEWED
knowledge/examples/valid/company_type.RESEARCH_ONLY.tyd,RESEARCH_FIXTURE,production/knowledge/,MERGE,Native-format research fixture retained only after provenance/version-scoped review.,REVIEWED
knowledge/examples/valid/example_names.txt,RESEARCH_FIXTURE,production/knowledge/,MERGE,Native-format research fixture retained only after provenance/version-scoped review.,REVIEWED
knowledge/examples/valid/minimal_software_type.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is superseded by real Software Inc family authoring guidance/evals.,REVIEWED
knowledge/examples/valid/multi_category_software_type.modspec.json,MODSPEC_EXAMPLE,,DROP,ModSpec fixture is superseded by real Software Inc family authoring guidance/evals.,REVIEWED
knowledge/examples/valid/personalities.RESEARCH_ONLY.tyd,RESEARCH_FIXTURE,production/knowledge/,MERGE,Native-format research fixture retained only after provenance/version-scoped review.,REVIEWED
knowledge/MANIFEST.json,LEGACY_MANIFEST,work/migration/legacy-file-map.csv,ARCHIVE_ONLY,Historical pack inventory is represented by this migration map and immutable archived ZIP.,REVIEWED
knowledge/observations/in_game_findings.json,RUNTIME_OBSERVATION,production/17_EVIDENCE_REGISTRY.json,MERGE,Runtime observations are valuable when preserved with exact version/scope provenance.,REVIEWED
knowledge/provenance_model.md,LEGACY_PROVENANCE,production/knowledge/01_EVIDENCE_VERSION_AND_TRUTH.md,REWRITE,Strong provenance concepts retained under the approved evidence tuple and conflict model.,REVIEWED
knowledge/README.md,HISTORICAL_RESEARCH,archive/raw/knowledge.zip#knowledge/README.md,ARCHIVE_ONLY,Historical context retained in immutable source archive; authoritative claims migrate separately.,REVIEWED
knowledge/reference/00_mod_taxonomy.md,LEGACY_REFERENCE,production/knowledge/02_MOD_ECOSYSTEM_AND_ROUTER.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/01_tyd.md,LEGACY_REFERENCE,production/knowledge/03_TYD_FOUNDATIONS.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/02_data_mod_structure.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/03_software_types.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/04_features.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/05_categories.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/06_name_generators.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/07_company_types.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/08_personalities.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/09_addons.md,LEGACY_REFERENCE,production/knowledge/04_DATA_MODDING.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/10_hardware.md,LEGACY_REFERENCE,production/knowledge/11_EDITOR_CONTENT_HARDWARE_BLUEPRINTS_BUILDINGS.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/11_sipl.md,LEGACY_REFERENCE,production/knowledge/05_SIPL.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/12_code_mods.md,LEGACY_REFERENCE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/13_code_mod_patterns_1_8_41.md,LEGACY_REFERENCE,production/knowledge/06_CODE_MODDING_CORE_AND_DISTRIBUTION.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/14_furniture_materials_localization.md,LEGACY_REFERENCE,production/knowledge/08_FURNITURE.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/15_debugging_validation.md,LEGACY_REFERENCE,production/knowledge/12_DEBUGGING_CONSOLE_AND_RUNTIME.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/16_compatibility_collisions.md,LEGACY_REFERENCE,production/knowledge/13_COMPATIBILITY_MIGRATION_AND_COLLISIONS.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/17_vanilla_data_gap.md,LEGACY_REFERENCE,production/knowledge/01_EVIDENCE_VERSION_AND_TRUTH.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/18_balancing_authoring.md,LEGACY_REFERENCE,production/knowledge/14_DISCOVERY_BRAINSTORM_AND_DESIGN.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/19_versioning_update_policy.md,LEGACY_REFERENCE,production/knowledge/01_EVIDENCE_VERSION_AND_TRUTH.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/20_repair_validation_strategy.md,LEGACY_REFERENCE,production/knowledge/15_BUILD_EDIT_REPAIR_AND_DELIVERY.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/21_loader_taxonomy_and_unsupported_surfaces.md,LEGACY_REFERENCE,production/knowledge/02_MOD_ECOSYSTEM_AND_ROUTER.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/22_runtime_regression_matrix.md,LEGACY_REFERENCE,production/knowledge/16_VERIFICATION_AND_QA.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/23_family_golden_paths.md,LEGACY_REFERENCE,production/knowledge/02_MOD_ECOSYSTEM_AND_ROUTER.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/reference/24_code_mod_operational_constraints.md,LEGACY_REFERENCE,production/knowledge/07_CODE_RUNTIME_UI_PERSISTENCE_SECURITY.md,REWRITE,Software Inc factual content is retained only after source/version reconciliation and removal of ModForge policy.,REVIEWED
knowledge/RESEARCH_REPORT_2026-08-25.md,HISTORICAL_RESEARCH,archive/raw/knowledge.zip#knowledge/RESEARCH_REPORT_2026-08-25.md,ARCHIVE_ONLY,Historical context retained in immutable source archive; authoritative claims migrate separately.,REVIEWED
knowledge/rules/active_static_execution_map.json,MODFORGE_COUPLED,,DROP,"Product-coupled schema/execution/validator artifact; engine facts, if any, are migrated separately.",REVIEWED
knowledge/rules/console_command_catalog.json,ENGINE_RULE_CATALOG,production/knowledge/12_DEBUGGING_CONSOLE_AND_RUNTIME.md,MERGE,Exact Software Inc console identifiers retained after evidence reconciliation.,REVIEWED
knowledge/rules/diagnostic_enrichment_schema.json,MODFORGE_COUPLED,,DROP,"Product-coupled schema/execution/validator artifact; engine facts, if any, are migrated separately.",REVIEWED
knowledge/rules/field_catalog.json,MACHINE_RULE_CATALOG,production/knowledge/,REWRITE,Extract only Software Inc semantics with claim-scoped evidence; discard product/profile restrictions.,REVIEWED
knowledge/rules/repair_catalog.json,MACHINE_RULE_CATALOG,production/knowledge/,REWRITE,Extract only Software Inc semantics with claim-scoped evidence; discard product/profile restrictions.,REVIEWED
knowledge/rules/rule_catalog.json,MACHINE_RULE_CATALOG,production/knowledge/,REWRITE,Extract only Software Inc semantics with claim-scoped evidence; discard product/profile restrictions.,REVIEWED
knowledge/rules/rule_schema.json,MACHINE_RULE_CATALOG,production/knowledge/,REWRITE,Extract only Software Inc semantics with claim-scoped evidence; discard product/profile restrictions.,REVIEWED
knowledge/rules/validator_code_map.json,MODFORGE_COUPLED,,DROP,"Product-coupled schema/execution/validator artifact; engine facts, if any, are migrated separately.",REVIEWED
knowledge/source_registry.json,LEGACY_SOURCE_REGISTRY,production/17_EVIDENCE_REGISTRY.json,MERGE,Software Inc sources migrate into the claim-scoped evidence registry; ModForge-only source metadata is removed.,REVIEWED
knowledge/support_matrix.json,MODFORGE_PRODUCT_POLICY,,SUPERSEDED,ModForge support state must not constrain standalone ChatGPT Project engine truth.,REVIEWED
